timestamp,nationality,age,marital_status,number_of_dependents,what_percentage_of_your_income_goes_to_expenses_related_to_your_dependents,gender,type_of_employment,are_you_in_the_public_or_private_sector,highest_educational_level,which_region_of_ghana_are_you_based_in,what_industry_do_you_work_in,monthly_income,is_your_income_mainly_from_a_company_business_based_in_ghana_or_abroad,working_arrangement,months_spending_saved,amount_saved,do_you_own_a_home,do_you_own_a_car,survey,how_long_have_you_been_working_for,which_currency_do_you_primarily_earn_in,monthly_income_group,amount_saved_group
2023-06-08T10:41:10Z,Ghanaian,26 - 35,Unmarried (never before married),1-3,41% - 50%,Male,Self-Employed,Private Sector,Senior High School and Below,Greater Accra,Manufacturing,"GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,4 - 7 months,"GH¢30,000 - GH¢49,999",No,No,GESS 1,NA,NA,"Less than GH¢5,000","GH¢30,000 - GH¢49,999"
2023-06-08T10:47:10Z,Ghanaian,26 - 35,Unmarried (never before married),None,NA,Male,Formally Employed,Private Sector,Graduate,Greater Accra,"Repairs - Automotive, Appliances & Others","GH¢1,001 - GH¢2,499",Ghana-Based,On-site working,1 - 3 months,"GH¢10,000 or less",No,No,GESS 1,NA,NA,"Less than GH¢5,000","GH¢10,000 or less"
2023-06-08T10:48:55Z,Ghanaian,36 - 45,Married,4-7,More than 50%,Male,Formally Employed,Private Sector,Post-Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢10,000 - GH¢14,999",Ghana-Based,On-site working,Zero months,"GH¢100,000 - GH¢199,999",No,Yes,GESS 1,NA,NA,"GH¢10,000 - GH¢19,999","GH¢100,000 - GH¢199,999"
2023-06-08T10:49:55Z,Ghanaian,26 - 35,Unmarried (never before married),1-3,11% - 20%,Male,Formally Employed,Public Sector,Graduate,Bono East,Health,"GH¢7,500 - GH¢9,999",Ghana-Based,On-site working,More than 12 months,"GH¢50,000 - GH¢99,999",No,No,GESS 1,NA,NA,"GH¢5,000 - GH¢9,999","GH¢50,000 - GH¢99,999"
2023-06-08T10:50:33Z,Ghanaian,25 and below,Unmarried (never before married),None,NA,Female,Full-time Student,Private Sector,Graduate,Greater Accra,Law,"GH¢1,001 - GH¢2,499",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,No,GESS 1,NA,NA,"Less than GH¢5,000","GH¢10,000 or less"
2023-06-08T10:52:52Z,Ghanaian,26 - 35,Unmarried (never before married),None,5% or less,Male,Formally Employed,Public Sector,Graduate,Greater Accra,Technology & Telecommunication,"GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,No,GESS 1,NA,NA,"Less than GH¢5,000","GH¢10,000 or less"
2023-06-08T10:56:46Z,Ghanaian,26 - 35,Unmarried (never before married),None,5% or less,Male,Formally Employed,Private Sector,Graduate,Greater Accra,Health,"GH¢5,000 - GH¢7,499",Ghana-Based,On-site working,4 - 7 months,"GH¢10,000 or less",No,No,GESS 1,NA,NA,"GH¢5,000 - GH¢9,999","GH¢10,000 or less"
2023-06-08T10:56:56Z,Ghanaian,25 and below,Unmarried (never before married),None,NA,Male,Formally Employed,Private Sector,Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢2,500 - GH¢4,999",Ghana-Based,Hybrid of on-site & remote working,1 - 3 months,"GH¢10,000 or less",No,No,GESS 1,NA,NA,"Less than GH¢5,000","GH¢10,000 or less"
2023-06-08T10:56:59Z,Ghanaian,26 - 35,Unmarried (never before married),1-3,11% - 20%,Male,Formally Employed,Private Sector,Graduate,Bono,"Mining, Oil & Gas, Energy","GH¢15,000 - GH¢19,999",Ghana-Based,On-site working,4 - 7 months,"GH¢50,000 - GH¢99,999",No,No,GESS 1,NA,NA,"GH¢10,000 - GH¢19,999","GH¢50,000 - GH¢99,999"
2023-06-08T10:57:11Z,Ghanaian,26 - 35,Unmarried (never before married),None,5% or less,Male,Formally Employed,Private Sector,Post-Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢10,000 - GH¢14,999",Abroad,Hybrid of on-site & remote working,More than 12 months,"GH¢100,000 - GH¢199,999",No,Yes,GESS 1,NA,NA,"GH¢10,000 - GH¢19,999","GH¢100,000 - GH¢199,999"
2023-06-08T10:57:22Z,Ghanaian,26 - 35,Unmarried (never before married),1-3,5% or less,Male,Formally Employed,Private Sector,Graduate,Greater Accra,Technology & Telecommunication,"GH¢7,500 - GH¢9,999",Ghana-Based,Hybrid of on-site & remote working,4 - 7 months,"GH¢50,000 - GH¢99,999",No,Yes,GESS 1,NA,NA,"GH¢5,000 - GH¢9,999","GH¢50,000 - GH¢99,999"
2023-06-08T10:57:35Z,Ghanaian,26 - 35,Unmarried (never before married),None,NA,Male,Formally Employed,Private Sector,Post-Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢50,000 and above",Ghana-Based,Hybrid of on-site & remote working,More than 12 months,"GH¢500,000 - GH¢999,999",No,Yes,GESS 1,NA,NA,"GH¢20,000 and above","GH¢200,000 and above"
2023-06-08T10:58:26Z,Ghanaian,26 - 35,Unmarried (never before married),1-3,6-10%,Female,Formally Employed,Public Sector,Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢5,000 - GH¢7,499",Ghana-Based,On-site working,Zero months,"GH¢50,000 - GH¢99,999",No,Yes,GESS 1,NA,NA,"GH¢5,000 - GH¢9,999","GH¢50,000 - GH¢99,999"
2023-06-08T10:59:46Z,Ghanaian,26 - 35,Unmarried (never before married),1-3,41% - 50%,Male,Formally Employed,Public Sector,Graduate,Greater Accra,"Mining, Oil & Gas, Energy","GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,1 - 3 months,"GH¢10,001 - GH¢29,999",No,No,GESS 1,NA,NA,"Less than GH¢5,000","GH¢10,001 - GH¢29,999"
2023-06-08T11:00:14Z,Ghanaian,26 - 35,Unmarried (never before married),None,5% or less,Male,Formally Employed,Private Sector,Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢7,500 - GH¢9,999",Ghana-Based,On-site working,More than 12 months,"GH¢30,000 - GH¢49,999",Yes,Yes,GESS 1,NA,NA,"GH¢5,000 - GH¢9,999","GH¢30,000 - GH¢49,999"
2023-06-08T11:00:25Z,Ghanaian,25 and below,Unmarried (never before married),None,5% or less,Male,Formally Employed,Private Sector,Graduate,Western North,"Mining, Oil & Gas, Energy","GH¢7,500 - GH¢9,999",Ghana-Based,On-site working,4 - 7 months,"GH¢10,001 - GH¢29,999",No,No,GESS 1,NA,NA,"GH¢5,000 - GH¢9,999","GH¢10,001 - GH¢29,999"
2023-06-08T11:00:50Z,Ghanaian,26 - 35,Married,1-3,11% - 20%,Male,Formally Employed,Private Sector,Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢10,000 - GH¢14,999",Ghana-Based,Hybrid of on-site & remote working,1 - 3 months,"GH¢10,001 - GH¢29,999",No,Yes,GESS 1,NA,NA,"GH¢10,000 - GH¢19,999","GH¢10,001 - GH¢29,999"
2023-06-08T11:00:50Z,Ghanaian,26 - 35,Unmarried (never before married),1-3,11% - 20%,Male,Self-Employed,Private Sector,Graduate,Greater Accra,"Construction, Archictecture, Real Estate & Civil Engineering","GH¢1,001 - GH¢2,499",Ghana-Based,On-site working,4 - 7 months,"GH¢10,000 or less",No,No,GESS 1,NA,NA,"Less than GH¢5,000","GH¢10,000 or less"
2023-06-08T11:01:27Z,Ghanaian,25 and below,Unmarried (never before married),None,5% or less,Female,Formally Employed,Private Sector,Graduate,Greater Accra,"Communications, Advertising, Branding, PR & Marketing","GH¢5,000 - GH¢7,499",Abroad,Remote working,1 - 3 months,"GH¢10,001 - GH¢29,999",No,Yes,GESS 1,NA,NA,"GH¢5,000 - GH¢9,999","GH¢10,001 - GH¢29,999"
2023-06-08T11:02:02Z,Ghanaian,26 - 35,Married,1-3,11% - 20%,Male,Formally Employed,Private Sector,Post-Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢20,000 - GH¢29,999",Ghana-Based,Hybrid of on-site & remote working,8 - 12 months,"GH¢50,000 - GH¢99,999",Yes,Yes,GESS 1,NA,NA,"GH¢20,000 and above","GH¢50,000 - GH¢99,999"
2023-06-08T11:02:29Z,Ghanaian,26 - 35,Unmarried (never before married),1-3,5% or less,Female,Formally Employed,Private Sector,Graduate,Greater Accra,"Mining, Oil & Gas, Energy","GH¢30,000 - GH¢49,999",Abroad,Remote working,4 - 7 months,"GH¢50,000 - GH¢99,999",No,No,GESS 1,NA,NA,"GH¢20,000 and above","GH¢50,000 - GH¢99,999"
2023-06-08T11:02:30Z,Ghanaian,26 - 35,Married,None,5% or less,Male,Self-Employed,Private Sector,Graduate,Greater Accra,"Communications, Advertising, Branding, PR & Marketing","GH¢50,000 and above",Abroad,Remote working,4 - 7 months,"GH¢200,000 - GH¢499,999",No,Yes,GESS 1,NA,NA,"GH¢20,000 and above","GH¢200,000 and above"
2023-06-08T11:02:58Z,Ghanaian,26 - 35,Unmarried (never before married),None,5% or less,Female,Formally Employed,Private Sector,Graduate,Greater Accra,"Communications, Advertising, Branding, PR & Marketing","GH¢15,000 - GH¢19,999",Abroad,Hybrid of on-site & remote working,1 - 3 months,"GH¢50,000 - GH¢99,999",No,No,GESS 1,NA,NA,"GH¢10,000 - GH¢19,999","GH¢50,000 - GH¢99,999"
2023-06-08T11:03:04Z,Ghanaian,26 - 35,Unmarried (never before married),None,6-10%,Male,Formally Employed,Private Sector,Graduate,Greater Accra,Health,"GH¢7,500 - GH¢9,999",Ghana-Based,On-site working,4 - 7 months,"GH¢50,000 - GH¢99,999",No,No,GESS 1,NA,NA,"GH¢5,000 - GH¢9,999","GH¢50,000 - GH¢99,999"
2023-06-08T11:03:07Z,Ghanaian,26 - 35,Unmarried (never before married),None,NA,Male,Formally Employed,Private Sector,Graduate,Greater Accra,Technology & Telecommunication,"GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,Yes,GESS 1,NA,NA,"Less than GH¢5,000","GH¢10,000 or less"
2023-06-08T11:04:21Z,Ghanaian,25 and below,Unmarried (never before married),1-3,6-10%,Male,Formally Employed,Private Sector,Graduate,Greater Accra,Law,"GH¢2,500 - GH¢4,999",Ghana-Based,Hybrid of on-site & remote working,1 - 3 months,"GH¢10,000 or less",No,Yes,GESS 1,NA,NA,"Less than GH¢5,000","GH¢10,000 or less"
2023-06-08T11:04:41Z,Ghanaian,26 - 35,Unmarried (never before married),1-3,41% - 50%,Male,Formally Employed,Private Sector,Graduate,Greater Accra,"Communications, Advertising, Branding, PR & Marketing","GH¢1,001 - GH¢2,499",Ghana-Based,On-site working,1 - 3 months,"GH¢10,000 or less",No,No,GESS 1,NA,NA,"Less than GH¢5,000","GH¢10,000 or less"
