Timestamp,Nationality,Age,Marital Status,Number of dependents,What percentage of your income goes to expenses related to your dependents?,Gender,Type of Employment,Are you in the Public or Private Sector?,Highest Educational Level,Which Region of Ghana Are You Based in?,What Industry do you work in?,What is the range of your take-home monthly income including all allowances and side endeavours?,Is your income mainly from a company/business based in Ghana or abroad?,Working arrangement.,How many months' worth of expenses do you have saved up?,Including your retirement benefits but excluding any physical assets? How much do you have saved up?,Do you own a home?,Do you own a car?
08/06/2023 10:41:10,Ghanaian,26 - 35,Unmarried (never before married),1-3,41% - 50%,Male,Self-Employed,Private Sector,Senior High School and Below,Greater Accra,Manufacturing ,"GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,4 - 7 months,"GH¢30,000 - GH¢49,999",No,No
08/06/2023 10:47:10,Ghanaian,26 - 35,Unmarried (never before married),None,,Male,Formally Employed,Private Sector,Graduate,Greater Accra,"Repairs - Automotive, Appliances & Others","GH¢1,001 - GH¢2,499",Ghana-Based,On-site working,1 - 3 months,"GH¢10,000 or less",No,No
08/06/2023 10:48:55,Ghanaian,36 - 45,Married,4-7,More than 50%,Male,Formally Employed,Private Sector,Post-Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢10,000 - GH¢14,999",Ghana-Based,On-site working,Zero months,"GH¢100,000 - GH¢199,999",No,Yes
08/06/2023 10:49:55,Ghanaian,26 - 35,Unmarried (never before married),1-3,11% - 20%,Male,Formally Employed,Public Sector,Graduate,Bono East,Health,"GH¢7,500 - GH¢9,999",Ghana-Based,On-site working,More than 12 months,"GH¢50,000 - GH¢99,999",No,No
08/06/2023 10:50:33,Ghanaian,25 and below,Unmarried (never before married),None,,Female,Full-time Student,Private Sector,Graduate,Greater Accra,Law,"GH¢1,001 - GH¢2,499",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,No
08/06/2023 10:52:52,Ghanaian,26 - 35,Unmarried (never before married),None,5% or less,Male,Formally Employed,Public Sector,Graduate,Greater Accra,Technology & Telecommunication,"GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,No
08/06/2023 10:56:46,Ghanaian,26 - 35,Unmarried (never before married),None,5% or less,Male,Formally Employed,Private Sector,Graduate,Greater Accra,Health,"GH¢5,000 - GH¢7,499",Ghana-Based,On-site working,4 - 7 months,"GH¢10,000 or less",No,No
08/06/2023 10:56:56,Ghanaian,25 and below,Unmarried (never before married),None,,Male,Formally Employed,Private Sector,Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢2,500 - GH¢4,999",Ghana-Based,Hybrid of on-site & remote working,1 - 3 months,"GH¢10,000 or less",No,No
08/06/2023 10:56:59,Ghanaian,26 - 35,Unmarried (never before married),1-3,11% - 20%,Male,Formally Employed,Private Sector,Graduate,Bono,"Mining, Oil & Gas, Energy","GH¢15,000 - GH¢19,999",Ghana-Based,On-site working,4 - 7 months,"GH¢50,000 - GH¢99,999",No,No
08/06/2023 10:57:11,Ghanaian,26 - 35,Unmarried (never before married),None,5% or less,Male,Formally Employed,Private Sector,Post-Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢10,000 - GH¢14,999",Abroad,Hybrid of on-site & remote working,More than 12 months,"GH¢100,000 - GH¢199,999",No,Yes
08/06/2023 10:57:22,Ghanaian,26 - 35,Unmarried (never before married),1-3,5% or less,Male,Formally Employed,Private Sector,Graduate,Greater Accra,Technology & Telecommunication,"GH¢7,500 - GH¢9,999",Ghana-Based,Hybrid of on-site & remote working,4 - 7 months,"GH¢50,000 - GH¢99,999",No,Yes
08/06/2023 10:57:35,Ghanaian,26 - 35,Unmarried (never before married),None,,Male,Formally Employed,Private Sector,Post-Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢50,000 and above",Ghana-Based,Hybrid of on-site & remote working,More than 12 months,"GH¢500,000 - GH¢999,999",No,Yes
08/06/2023 10:58:26,Ghanaian,26 - 35,Unmarried (never before married),1-3,6-10%,Female,Formally Employed,Public Sector,Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢5,000 - GH¢7,499",Ghana-Based,On-site working,Zero months,"GH¢50,000 - GH¢99,999",No,Yes
08/06/2023 10:59:46,Ghanaian,26 - 35,Unmarried (never before married),1-3,41% - 50%,Male,Formally Employed,Public Sector,Graduate,Greater Accra,"Mining, Oil & Gas, Energy","GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,1 - 3 months,"GH¢10,001 - GH¢29,999",No,No
08/06/2023 11:00:14,Ghanaian,26 - 35,Unmarried (never before married),None,5% or less,Male,Formally Employed,Private Sector,Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢7,500 - GH¢9,999",Ghana-Based,On-site working,More than 12 months,"GH¢30,000 - GH¢49,999",Yes,Yes
08/06/2023 11:00:25,Ghanaian,25 and below,Unmarried (never before married),None,5% or less,Male,Formally Employed,Private Sector,Graduate,Western North,"Mining, Oil & Gas, Energy","GH¢7,500 - GH¢9,999",Ghana-Based,On-site working,4 - 7 months,"GH¢10,001 - GH¢29,999",No,No
08/06/2023 11:00:50,Ghanaian,26 - 35,Married,1-3,11% - 20%,Male,Formally Employed,Private Sector,Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢10,000 - GH¢14,999",Ghana-Based,Hybrid of on-site & remote working,1 - 3 months,"GH¢10,001 - GH¢29,999",No,Yes
08/06/2023 11:00:50,Ghanaian,26 - 35,Unmarried (never before married),1-3,11% - 20%,Male,Self-Employed,Private Sector,Graduate,Greater Accra,"Construction, Archictecture, Real Estate & Civil Engineering","GH¢1,001 - GH¢2,499",Ghana-Based,On-site working,4 - 7 months,"GH¢10,000 or less",No,No
08/06/2023 11:01:27,Ghanaian,25 and below,Unmarried (never before married),None,5% or less,Female,Formally Employed,Private Sector,Graduate,Greater Accra,"Communications, Advertising, Branding, PR & Marketing","GH¢5,000 - GH¢7,499",Abroad,Remote working,1 - 3 months,"GH¢10,001 - GH¢29,999",No,Yes
08/06/2023 11:02:02,Ghanaian,26 - 35,Married,1-3,11% - 20%,Male,Formally Employed,Private Sector,Post-Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢20,000 - GH¢29,999",Ghana-Based,Hybrid of on-site & remote working,8 - 12 months,"GH¢50,000 - GH¢99,999",Yes,Yes
08/06/2023 11:02:29,Ghanaian,26 - 35,Unmarried (never before married),1-3,5% or less,Female,Formally Employed,Private Sector,Graduate,Greater Accra,"Mining, Oil & Gas, Energy","GH¢30,000 - GH¢49,999",Abroad,Remote working,4 - 7 months,"GH¢50,000 - GH¢99,999",No,No
08/06/2023 11:02:30,Ghanaian,26 - 35,Married,None,5% or less,Male,Self-Employed,Private Sector,Graduate,Greater Accra,"Communications, Advertising, Branding, PR & Marketing","GH¢50,000 and above",Abroad,Remote working,4 - 7 months,"GH¢200,000 - GH¢499,999",No,Yes
